Freq.	V(vout3)/(V(vp)-V(vm))
1.00000000000000e-002	(-4.11838015619366e+001dB,-5.59733635143613e-001°)
1.02329299228075e-002	(-4.07837855425980e+001dB,-5.72769990801834e-001°)
1.04712854805090e-002	(-4.03837687683898e+001dB,-5.86110176680783e-001°)
1.07151930523761e-002	(-3.99837512037328e+001dB,-5.99761275935969e-001°)
1.09647819614318e-002	(-3.95837328113945e+001dB,-6.13730537289531e-001°)
1.12201845430196e-002	(-3.91837135523725e+001dB,-6.28025378924647e-001°)
1.14815362149688e-002	(-3.87836933858363e+001dB,-6.42653392473720e-001°)
1.17489755493953e-002	(-3.83836722690220e+001dB,-6.57622347102362e-001°)
1.20226443461741e-002	(-3.79836501571684e+001dB,-6.72940193691832e-001°)
1.23026877081238e-002	(-3.75836270033910e+001dB,-6.88615069122049e-001°)
1.25892541179417e-002	(-3.71836027586898e+001dB,-7.04655300658310e-001°)
1.28824955169313e-002	(-3.67835773714943e+001dB,-7.21069410444217e-001°)
1.31825673855641e-002	(-3.63835507881513e+001dB,-7.37866120102939e-001°)
1.34896288259165e-002	(-3.59835229521409e+001dB,-7.55054355450987e-001°)
1.38038426460288e-002	(-3.55834938045392e+001dB,-7.72643251325928e-001°)
1.41253754462275e-002	(-3.51834632835567e+001dB,-7.90642156532052e-001°)
1.44543977074593e-002	(-3.47834313245017e+001dB,-8.09060638906911e-001°)
1.47910838816821e-002	(-3.43833978596330e+001dB,-8.27908490511429e-001°)
1.51356124843621e-002	(-3.39833628180176e+001dB,-8.47195732947964e-001°)
1.54881661891248e-002	(-3.35833261253804e+001dB,-8.66932622808117e-001°)
1.58489319246111e-002	(-3.31832877040511e+001dB,-8.87129657255793e-001°)
1.62181009735893e-002	(-3.27832474724218e+001dB,-9.07797579747508e-001°)
1.65958690743756e-002	(-3.23832053454009e+001dB,-9.28947385894445e-001°)
1.69824365246174e-002	(-3.19831612335461e+001dB,-9.50590329470345e-001°)
1.73780082874937e-002	(-3.15831150434634e+001dB,-9.72737928568590e-001°)
1.77827941003892e-002	(-3.11830666772795e+001dB,-9.95401971913431e-001°)
1.81970085860998e-002	(-3.07830160325127e+001dB,-1.01859452532912e+000°)
1.86208713666287e-002	(-3.03829630019470e+001dB,-1.04232793837151e+000°)
1.90546071796325e-002	(-2.99829074731367e+001dB,-1.06661485112714e+000°)
1.94984459975804e-002	(-2.95828493283564e+001dB,-1.09146820118417e+000°)
1.99526231496888e-002	(-2.91827884445142e+001dB,-1.11690123078002e+000°)
2.04173794466953e-002	(-2.87827246926450e+001dB,-1.14292749413185e+000°)
2.08929613085404e-002	(-2.83826579378000e+001dB,-1.16956086495401e+000°)
2.13796208950223e-002	(-2.79825880384991e+001dB,-1.19681554416863e+000°)
2.18776162394955e-002	(-2.75825148466190e+001dB,-1.22470606781520e+000°)
2.23872113856834e-002	(-2.71824382072465e+001dB,-1.25324731516516e+000°)
2.29086765276777e-002	(-2.67823579581788e+001dB,-1.28245451704746e+000°)
2.34422881531992e-002	(-2.63822739293268e+001dB,-1.31234326439175e+000°)
2.39883291901949e-002	(-2.59821859429545e+001dB,-1.34292951699603e+000°)
2.45470891568503e-002	(-2.55820938127046e+001dB,-1.37422961252560e+000°)
2.51188643150958e-002	(-2.51819973434657e+001dB,-1.40626027575129e+000°)
2.57039578276886e-002	(-2.47818963312243e+001dB,-1.43903862803360e+000°)
2.63026799189538e-002	(-2.43817905621079e+001dB,-1.47258219706125e+000°)
2.69153480392691e-002	(-2.39816798121985e+001dB,-1.50690892685323e+000°)
2.75422870333816e-002	(-2.35815638473288e+001dB,-1.54203718803116e+000°)
2.81838293126445e-002	(-2.31814424220641e+001dB,-1.57798578837326e+000°)
2.88403150312660e-002	(-2.27813152794434e+001dB,-1.61477398365778e+000°)
2.95120922666638e-002	(-2.23811821508068e+001dB,-1.65242148880616e+000°)
3.01995172040201e-002	(-2.19810427542313e+001dB,-1.69094848933738e+000°)
3.09029543251359e-002	(-2.15808967953132e+001dB,-1.73037565314232e+000°)
3.16227766016838e-002	(-2.11807439650889e+001dB,-1.77072414259176e+000°)
3.23593656929628e-002	(-2.07805839408360e+001dB,-1.81201562698834e+000°)
3.31131121482591e-002	(-2.03804163839590e+001dB,-1.85427229537572e+000°)
3.38844156139202e-002	(-1.99802409409018e+001dB,-1.89751686971767e+000°)
3.46736850452531e-002	(-1.95800572402467e+001dB,-1.94177261846107e+000°)
3.54813389233575e-002	(-1.91798648944594e+001dB,-1.98706337049795e+000°)
3.63078054770101e-002	(-1.87796634970134e+001dB,-2.03341352954004e+000°)
3.71535229097172e-002	(-1.83794526227057e+001dB,-2.08084808892344e+000°)
3.80189396320561e-002	(-1.79792318264185e+001dB,-2.12939264685995e+000°)
3.89045144994280e-002	(-1.75790006420089e+001dB,-2.17907342215179e+000°)
3.98107170553497e-002	(-1.71787585815219e+001dB,-2.22991727038897e+000°)
4.07380277804112e-002	(-1.67785051344447e+001dB,-2.28195170065017e+000°)
4.16869383470335e-002	(-1.63782397660159e+001dB,-2.33520489272474e+000°)
4.26579518801592e-002	(-1.59779619168439e+001dB,-2.38970571488067e+000°)
4.36515832240165e-002	(-1.55776710011096e+001dB,-2.44548374220052e+000°)
4.46683592150962e-002	(-1.51773664057184e+001dB,-2.50256927550855e+000°)
4.57088189614874e-002	(-1.47770474889563e+001dB,-2.56099336091625e+000°)
4.67735141287197e-002	(-1.43767135792262e+001dB,-2.62078781001241e+000°)
4.78630092322637e-002	(-1.39763639733373e+001dB,-2.68198522072745e+000°)
4.89778819368445e-002	(-1.35759979355773e+001dB,-2.74461899890046e+000°)
5.01187233627271e-002	(-1.31756146958528e+001dB,-2.80872338058293e+000°)
5.12861383991364e-002	(-1.27752134482773e+001dB,-2.87433345511279e+000°)
5.24807460249771e-002	(-1.23747933491776e+001dB,-2.94148518899311e+000°)
5.37031796370252e-002	(-1.19743535159862e+001dB,-3.01021545061619e+000°)
5.49540873857623e-002	(-1.15738930248209e+001dB,-3.08056203587140e+000°)
5.62341325190348e-002	(-1.11734109090417e+001dB,-3.15256369467994e+000°)
5.75439937337156e-002	(-1.07729061567620e+001dB,-3.22626015850394e+000°)
5.88843655355588e-002	(-1.03723777099520e+001dB,-3.30169216887425e+000°)
6.02559586074356e-002	(-9.97182446042703e+000dB,-3.37890150699326e+000°)
6.16595001861481e-002	(-9.57124524929872e+000dB,-3.45793102446190e+000°)
6.30957344480192e-002	(-9.17063886411516e+000dB,-3.53882467519361e+000°)
